Card Name,Decks avec carte,Decks totaux analysés,% apparition dans les decks,Quantité totale,Présente comme commander dans X decks,Nombre de commanders concernés
Coming Attraction,3,25208,0.01%,3,0,1
Coming In Hot,2,25208,0.01%,2,0,2
Command Beacon,1366,25208,5.42%,1366,0,13
Command Performance,3,25208,0.01%,3,0,1
Command Tower,18100,25208,71.80%,18119,0,12
Command the Dreadhorde,68,25208,0.27%,68,0,5
Command the Storm,1,25208,0.00%,1,0,0
Commandeer,228,25208,0.90%,228,0,3
Commander Liara Portyr,5,25208,0.02%,5,0,2
Commander Mustard,4,25208,0.02%,4,0,1
Commander Sofia Daguerre,8,25208,0.03%,8,0,3
Commander's Authority,56,25208,0.22%,56,0,2
Commander's Insight,226,25208,0.90%,226,0,5
Commander's Insignia,17,25208,0.07%,17,0,4
Commander's Plate,466,25208,1.85%,466,0,10
Commander's Sphere,2106,25208,8.35%,2106,0,12
Commanding Presence,40,25208,0.16%,40,0,2
Commence the Endgame,30,25208,0.12%,30,0,2
Commencement of Festivities,7,25208,0.03%,7,0,5
Commercial District,49,25208,0.19%,49,0,1
Commissar Severina Raine,4,25208,0.02%,4,0,1
Commit //Memory,291,25208,1.15%,291,0,5
Common Bond,8,25208,0.03%,8,0,1
Communal Brewing,34,25208,0.13%,34,0,3
Commune with Evil,1,25208,0.00%,1,0,1
Commune with Lava,29,25208,0.12%,29,0,2
Commune with Nature,14,25208,0.06%,14,0,4
Commune with Spirits,4,25208,0.02%,4,0,2
Commune with the Gods,5,25208,0.02%,5,0,3
Company Commander,4,25208,0.02%,4,0,1
Comparative Analysis,1,25208,0.00%,1,0,1
Compass Gnome,7,25208,0.03%,7,0,2
Compelling Argument,17,25208,0.07%,17,0,3
Compelling Deterrence,1,25208,0.00%,1,0,1
Compleated Huntmaster,1,25208,0.00%,1,0,1
Complete Disregard,2,25208,0.01%,2,0,1
Complete the Circuit,55,25208,0.22%,55,0,4
Complicate,6,25208,0.02%,6,0,4
Component Collector,1,25208,0.00%,1,0,1
Component Pouch,32,25208,0.13%,32,0,5
Composer of Spring,6,25208,0.02%,6,0,4
Compost,31,25208,0.12%,31,0,6
Compulsion,8,25208,0.03%,8,0,4
Compulsive Research,56,25208,0.22%,56,0,5
Compulsory Rest,1,25208,0.00%,1,0,1
Compy Swarm,184,25208,0.73%,184,0,2
Concealed Courtyard,243,25208,0.96%,243,0,2
Concealing Curtains,58,25208,0.23%,58,0,1
Concentrate,31,25208,0.12%,31,0,5
Concert Kaboomist,1,25208,0.00%,1,0,0
Concerted Defense,1,25208,0.00%,1,0,1
Concerted Effort,4,25208,0.02%,4,0,1
Concession Stand,4,25208,0.02%,4,0,1
Conclave Cavalier,3,25208,0.01%,3,0,1
Conclave Evangelist,10,25208,0.04%,10,0,1
Conclave Guildmage,35,25208,0.14%,35,0,2
Conclave Mentor,306,25208,1.21%,306,0,3
Conclave Naturalists,2,25208,0.01%,2,0,2
Conclave Phalanx,2,25208,0.01%,2,0,1
Conclave Sledge-Captain,13,25208,0.05%,13,0,3
Conclave Tribunal,6,25208,0.02%,6,0,2
Concord with the Kami,7,25208,0.03%,7,0,2
Concordant Crossroads,1101,25208,4.37%,1101,0,6
Concordia Pegasus,19,25208,0.08%,19,0,1
Concussive Bolt,1,25208,0.00%,1,0,1
Condemn,80,25208,0.32%,80,0,6
Condescend,41,25208,0.16%,41,0,4
Conduct Electricity,1,25208,0.00%,1,0,1
Conductive Machete,1,25208,0.00%,1,0,1
Conduit Pylons,54,25208,0.21%,54,0,11
Conduit of Ruin,30,25208,0.12%,30,0,5
Conduit of Storms,1,25208,0.00%,1,0,1
Conduit of Worlds,931,25208,3.69%,931,0,6
Cone of Cold,73,25208,0.29%,73,0,4
Cone of Flame,1,25208,0.00%,1,0,1
Confession Dial,2,25208,0.01%,2,0,2
Confessor,3,25208,0.01%,3,0,2
Confirm Suspicions,20,25208,0.08%,20,0,3
Confiscate,15,25208,0.06%,15,0,3
Confiscation Coup,5,25208,0.02%,5,0,3
Confound,21,25208,0.08%,21,0,3
Confounding Conundrum,38,25208,0.15%,38,0,5
Confounding Riddle,49,25208,0.19%,49,0,3
Confront the Past,2,25208,0.01%,2,0,1
Confront the Unknown,3,25208,0.01%,3,0,1
Confusion in the Ranks,5,25208,0.02%,5,0,1
Congregate,12,25208,0.05%,12,0,4
Congregation at Dawn,76,25208,0.30%,76,0,3
Conjurer's Ban,1,25208,0.00%,1,0,1
Conjurer's Bauble,2,25208,0.01%,2,0,2
Conjurer's Closet,452,25208,1.79%,452,0,9
Conjurer's Mantle,66,25208,0.26%,66,0,5
Connecting the Dots,36,25208,0.14%,36,0,2
Connive //Concoct,8,25208,0.03%,8,0,2
Conquering Manticore,2,25208,0.01%,2,0,1
Conqueror's Flail,195,25208,0.77%,195,0,10
Conqueror's Galleon,11,25208,0.04%,11,0,6
Consecrate //Consume,4,25208,0.02%,4,0,1
Consecrate Land,1,25208,0.00%,1,0,1
Consecrated Sphinx,607,25208,2.41%,607,0,5
Consecrated by Blood,7,25208,0.03%,7,0,1
Conservatory,6,25208,0.02%,6,0,2
Consider,655,25208,2.60%,655,0,5
Consign //Oblivion,1,25208,0.00%,1,0,1
Consign to Dream,3,25208,0.01%,3,0,3
Consign to Dust,1,25208,0.00%,1,0,1
Consign to Memory,99,25208,0.39%,99,0,5
Conspicuous Snoop,1815,25208,7.20%,1815,0,4
Conspiracy,99,25208,0.39%,100,0,5
Conspiracy Theorist,2,25208,0.01%,2,0,2
Conspiracy Unraveler,1,25208,0.00%,1,0,1
Constable of the Realm,14,25208,0.06%,14,0,3
Constant Mists,107,25208,0.42%,107,0,6
Constricting Sliver,6,25208,0.02%,6,0,2
Constrictor Sage,1,25208,0.00%,1,0,1
Consul's Lieutenant,1,25208,0.00%,1,0,1
Consulate Crackdown,4,25208,0.02%,4,0,3
Consulate Dreadnought,1,25208,0.00%,1,0,1
Consulate Skygate,2,25208,0.01%,2,0,2
Consulate Surveillance,4,25208,0.02%,4,0,1
Consult the Necrosages,5,25208,0.02%,5,0,1
Consume Spirit,3,25208,0.01%,3,0,3
Consume Strength,1,25208,0.00%,1,0,1
Consume the Meek,7,25208,0.03%,7,0,3
Consumed by Greed,5,25208,0.02%,5,0,2
Consuming Aberration,3032,25208,12.03%,3032,0,2
Consuming Blob,5,25208,0.02%,5,0,1
Consuming Corruption,2,25208,0.01%,2,0,2
Consuming Fervor,1,25208,0.00%,1,0,1
Consuming Tide,458,25208,1.82%,458,0,5
Consuming Vapors,4,25208,0.02%,4,0,3
Consuming Vortex,2,25208,0.01%,2,0,1
Contact Other Plane,43,25208,0.17%,43,0,4
Contagion Clasp,16,25208,0.06%,16,0,6
Contagion Engine,12,25208,0.05%,12,0,6
Contagious Vorrac,7,25208,0.03%,7,0,4
Containment Breach,5,25208,0.02%,5,0,1
Containment Construct,2,25208,0.01%,2,0,2
Containment Priest,157,25208,0.62%,157,0,5
Contaminant Grafter,4,25208,0.02%,4,0,3
Contaminated Aquifer,309,25208,1.23%,309,0,2
Contaminated Bond,1,25208,0.00%,1,0,1
Contaminated Drink,7,25208,0.03%,7,0,2
Contamination,21,25208,0.08%,21,0,5
Contemplation,3,25208,0.01%,3,0,2
Contempt,1,25208,0.00%,1,0,1
Contentious Plan,22,25208,0.09%,22,0,5
Contest of Claws,12,25208,0.05%,12,0,4
Contested Game Ball,1,25208,0.00%,1,0,1
Contested War Zone,4,25208,0.02%,4,0,2
Contingency Plan,3,25208,0.01%,3,0,2
Contortionist Otter Storm,4,25208,0.02%,4,0,1
Contortionist Troupe,124,25208,0.49%,124,0,2
Contraband Kingpin,1,25208,0.00%,1,0,1
Contraband Livestock,18,25208,0.07%,18,0,6
Contract Killing,1,25208,0.00%,1,0,1
Contractual Safeguard,25,25208,0.10%,25,0,4
Contradict,20,25208,0.08%,20,0,3
Control Magic,22,25208,0.09%,22,0,4
Controlled Instincts,1,25208,0.00%,1,0,1
Controvert,3,25208,0.01%,3,0,2
Conundrum Sphinx,2,25208,0.01%,2,0,2
Convergence of Dominion,2,25208,0.01%,2,0,1
Conversion,1,25208,0.00%,1,0,1
Conversion Apparatus,3,25208,0.01%,3,0,1
Convert to Slime,4,25208,0.02%,4,0,2
Converter Beast,2,25208,0.01%,2,0,1
Convincing Mirage,4,25208,0.02%,4,0,1
Convolute,19,25208,0.08%,19,0,3
Cooped Up,4,25208,0.02%,4,0,2
Coordinated Assault,1,25208,0.00%,1,0,1
Coordinated Barrage,8,25208,0.03%,8,0,3
Coordinated Charge,1,25208,0.00%,1,0,1
Coordinated Clobbering,1,25208,0.00%,1,0,1
Coordinated Maneuver,3,25208,0.01%,3,0,3
Copper Carapace,1,25208,0.00%,1,0,1
Copper Host Crusher,3,25208,0.01%,3,0,3
Copper Longlegs,4,25208,0.02%,4,0,3
Copper Myr,4,25208,0.02%,4,0,3
Coppercoat Vanguard,932,25208,3.70%,932,0,1
Copperhoof Vorrac,3,25208,0.01%,3,0,1
Copperhorn Scout,1142,25208,4.53%,1142,0,5
Copperline Gorge,7,25208,0.03%,7,0,1
Copy Artifact,20,25208,0.08%,20,0,4
Copy Catchers,1,25208,0.00%,1,0,1
Copy Enchantment,47,25208,0.19%,47,0,5
Copy Land,74,25208,0.29%,74,0,4
Copycrook,18,25208,0.07%,18,0,4
Coral Atoll,111,25208,0.44%,111,0,5
Coral Barrier,14,25208,0.06%,14,0,1
Coral Eel,5,25208,0.02%,5,0,1
Coral Sword,1,25208,0.00%,1,0,1
Coralhelm Commander,6,25208,0.02%,6,0,2
Coralhelm Guide,1,25208,0.00%,1,0,1
Cordial Vampire,3,25208,0.01%,3,0,2
Core Prowler,5,25208,0.02%,5,0,4
Cori Mountain Monastery,14,25208,0.06%,14,0,4
Cori-Steel Cutter,3,25208,0.01%,3,0,1
Coronation of Chaos,18,25208,0.07%,18,0,3
Corpse Augur,36,25208,0.14%,36,0,3
Corpse Blockade,1,25208,0.00%,1,0,1
Corpse Churn,17,25208,0.07%,17,0,4
Corpse Connoisseur,7,25208,0.03%,7,0,2
Corpse Cur,2,25208,0.01%,2,0,1
Corpse Dance,2,25208,0.01%,2,0,1
Corpse Explosion,2,25208,0.01%,2,0,1
Corpse Knight,18,25208,0.07%,18,0,1
Corpsejack Menace,7,25208,0.03%,7,0,2
Corpses of the Lost,10,25208,0.04%,10,0,1
Corpseweft,3,25208,0.01%,3,0,1
Corridor Monitor,49,25208,0.19%,49,0,3
Corrosion,1,25208,0.00%,1,0,1
Corrupt,3,25208,0.01%,3,0,3
Corrupted Conscience,16,25208,0.06%,16,0,4
Corrupted Conviction,447,25208,1.77%,447,0,5
Corrupted Crossroads,1,25208,0.00%,1,0,1
Corrupted Grafstone,9,25208,0.04%,9,0,4
Corrupted Harvester,4,25208,0.02%,4,0,1
Corrupted Shapeshifter,2,25208,0.01%,2,0,2
Corrupted Zendikon,3,25208,0.01%,3,0,1
Corruption of Towashi,2,25208,0.01%,2,0,1
Corsair Captain,1,25208,0.00%,1,0,1
Cosi's Ravager,3,25208,0.01%,3,0,1
Cosi's Trickster,1,25208,0.00%,1,0,1
"Cosima, God of the Voyage",85,25208,0.34%,85,0,4
Cosmic Epiphany,39,25208,0.15%,39,0,2
Cosmic Horror,4,25208,0.02%,4,0,1
Cosmic Hunger,9,25208,0.04%,9,0,4
Cosmic Intervention,94,25208,0.37%,94,0,6
Cosmic Rebirth,63,25208,0.25%,63,0,3
Cosmium Blast,1,25208,0.00%,1,0,1
Cosmium Confluence,6,25208,0.02%,6,0,3
Cosmos Charger,1,25208,0.00%,1,0,1
Cosmos Elixir,105,25208,0.42%,105,0,10
Cosmotronic Wave,20,25208,0.08%,20,0,3
Costly Plunder,67,25208,0.27%,67,0,5
Costume Shop,1,25208,0.00%,1,0,1
Council Guardian,3,25208,0.01%,3,0,1
Council of Advisors,1,25208,0.00%,1,0,1
Council of Echoes,1,25208,0.00%,1,0,1
Council's Deliberation,100,25208,0.40%,100,0,3
Council's Judgment,72,25208,0.29%,72,0,6
Counsel of the Soratami,3,25208,0.01%,3,0,2
Count Dracula,1,25208,0.00%,1,0,1
Count on Luck,44,25208,0.17%,44,0,2
Counterbalance,132,25208,0.52%,132,0,5
Counterflux,1,25208,0.00%,1,0,1
Counterlash,44,25208,0.17%,44,0,3
Countermand,28,25208,0.11%,28,0,3
Counterpoint,12,25208,0.05%,12,0,2
Counterspell,6161,25208,24.44%,6161,0,5
Countersquall,99,25208,0.39%,99,0,2
Countervailing Winds,21,25208,0.08%,21,0,5
Country Roads,4,25208,0.02%,4,0,1
Courage in Crisis,24,25208,0.10%,24,0,4
Courageous Goblin,21,25208,0.08%,21,0,1
Courageous Outrider,21,25208,0.08%,21,0,1
Courageous Resolve,34,25208,0.13%,34,0,4
Courier Bat,2,25208,0.01%,2,0,1
Courier's Capsule,1,25208,0.00%,1,0,1
Courser of Kruphix,381,25208,1.51%,381,0,7
Court Archers,1,25208,0.00%,1,0,1
Court Cleric,5,25208,0.02%,5,0,2
Court Street Denizen,29,25208,0.12%,29,0,3
Court of Ambition,29,25208,0.12%,29,0,5
Court of Ardenvale,31,25208,0.12%,31,0,6
Court of Bounty,70,25208,0.28%,70,0,6
Court of Cunning,1667,25208,6.61%,1668,0,4
Court of Embereth,22,25208,0.09%,22,0,3
Court of Garenbrig,436,25208,1.73%,436,0,5
Court of Grace,59,25208,0.23%,59,0,6
Court of Ire,16,25208,0.06%,16,0,4
Court of Locthwain,18,25208,0.07%,18,0,4
Court of Vantress,27,25208,0.11%,27,0,5
Courtly Provocateur,1,25208,0.00%,1,0,1
Covenant of Minds,6,25208,0.02%,6,0,3
Cover of Darkness,371,25208,1.47%,371,0,5
Covert Cutpurse,1,25208,0.00%,1,0,1
Covert Technician,2,25208,0.01%,2,0,2
Coveted Falcon,1,25208,0.00%,1,0,1
Coveted Jewel,39,25208,0.15%,39,0,8
Coveted Peacock,1,25208,0.00%,1,0,1
Coveted Prize,13,25208,0.05%,13,0,5
Covetous Castaway,2,25208,0.01%,2,0,1
Covetous Urge,11,25208,0.04%,11,0,2
Cow-tapult,36,25208,0.14%,36,0,2
Cowed by Wisdom,1,25208,0.00%,1,0,1
Crab Umbra,22,25208,0.09%,22,0,4
Crabapple Cohort,1,25208,0.00%,1,0,0
Crabomination,3,25208,0.01%,3,0,1
Crack Open,15,25208,0.06%,15,0,4
Crack the Earth,4,25208,0.02%,4,0,1
Crack the Vault,71,25208,0.28%,71,0,5
Crackdown,2,25208,0.01%,2,0,2
Crackdown Construct,1,25208,0.00%,1,0,1
Crackle with Power,25,25208,0.10%,25,0,3
Crackling Doom,245,25208,0.97%,245,0,1
Crackling Emergence,1,25208,0.00%,1,0,1
Crackling Perimeter,5,25208,0.02%,5,0,2
Cradle Clearcutter,10,25208,0.04%,10,0,3
Cradle of Safety,2,25208,0.01%,2,0,2
Cradle of Vitality,14,25208,0.06%,14,0,3
Cradle of the Accursed,1,25208,0.00%,1,0,1
Crafty Cutpurse,22,25208,0.09%,22,0,4
Crafty Pathmage,1,25208,0.00%,1,0,1
Cragcrown Pathway,50,25208,0.20%,50,0,2
Cragplate Baloth,5,25208,0.02%,5,0,3
Cragsmasher Yeti,30,25208,0.12%,30,0,1
"Craig Boone, Novac Guard",4,25208,0.02%,4,0,1
Cram Session,1,25208,0.00%,1,0,1
Cramped Vents // Access Maze,2,25208,0.01%,2,0,2
Cranial Archive,4,25208,0.02%,4,0,4
Cranial Plating,82,25208,0.33%,82,0,4
Cranial Ram,17,25208,0.07%,17,0,1
Crash,4,25208,0.02%,4,0,2
Crash Through,72,25208,0.29%,72,0,3
Crash of Rhino Beetles,20,25208,0.08%,20,0,3
Crash the Party,1,25208,0.00%,1,0,1
Crashing Drawbridge,226,25208,0.90%,226,0,11
Crashing Footfalls,1,25208,0.00%,1,0,1
Crashing Tide,5,25208,0.02%,5,0,1
Crater Hellion,35,25208,0.14%,35,0,2
Crater's Claws,2,25208,0.01%,2,0,1
Craterhoof Behemoth,2971,25208,11.79%,2971,0,6
Craterize,1,25208,0.00%,1,0,1
Crawl from the Cellar,1,25208,0.00%,1,0,1
Crawling Barrens,35,25208,0.14%,35,0,11
Crawling Chorus,1,25208,0.00%,1,0,1
Crawling Filth,1,25208,0.00%,1,0,1
Crawling Infestation,8,25208,0.03%,8,0,1
Crawling Sensation,8,25208,0.03%,8,0,1
Crawlspace,77,25208,0.31%,77,0,11
Crazed Goblin,11,25208,0.04%,11,0,2
Creakwood Liege,61,25208,0.24%,61,0,2
Cream of the Crop,16,25208,0.06%,16,0,5
Creative Technique,3,25208,0.01%,3,0,1
Credit Voucher,1,25208,0.00%,1,0,1
Creeperhulk,1,25208,0.00%,1,0,1
Creeping Bloodsucker,8,25208,0.03%,8,0,1
Creeping Corrosion,10,25208,0.04%,10,0,5
Creeping Dread,1,25208,0.00%,1,0,1
Creeping Mold,5,25208,0.02%,5,0,4
Creeping Renaissance,57,25208,0.23%,57,0,6
Creeping Tar Pit,1536,25208,6.09%,1537,0,2
Creeping Trailblazer,7,25208,0.03%,7,0,1
Creepy Doll,6,25208,0.02%,6,0,3
Cremate,7,25208,0.03%,7,0,2
Creosote Heath,63,25208,0.25%,63,0,3
Crescendo of War,14,25208,0.06%,14,0,4
Crested Sunmare,599,25208,2.38%,599,0,4
Cresting Mosasaurus,2,25208,0.01%,2,0,1
Crevasse,1,25208,0.00%,1,0,1
Crib Swap,105,25208,0.42%,105,0,6
Crime Novelist,24,25208,0.10%,24,0,1
Crimestopper Sprite,1,25208,0.00%,1,0,1
Criminal Past,5,25208,0.02%,5,0,2
Crimson Acolyte,4,25208,0.02%,4,0,2
Crimson Caravaneer,3,25208,0.01%,3,0,1
Crimson Fleet Commodore,26,25208,0.10%,26,0,3
Crimson Honor Guard,3,25208,0.01%,3,0,1
Crimson Mage,1,25208,0.00%,1,0,1
Crimson Wisps,17,25208,0.07%,17,0,2
Crippling Chill,3,25208,0.01%,3,0,2
Crippling Fear,1710,25208,6.78%,1710,0,5
Crisis of Conscience,7,25208,0.03%,7,0,4
Critical Hit,7,25208,0.03%,7,0,3
Croaking Counterpart,48,25208,0.19%,48,0,3
Crocanura,1,25208,0.00%,1,0,1
Croft Manor,24,25208,0.10%,24,0,9
Crook of Condemnation,5,25208,0.02%,5,0,3
Crookclaw Elder,1,25208,0.00%,1,0,1
Crop Rotation,2550,25208,10.12%,2551,0,6
Crop Sigil,1,25208,0.00%,1,0,1
Crossbow Infantry,1,25208,0.00%,1,0,1
Crosstown Courier,1,25208,0.00%,1,0,1
Crossway Vampire,1,25208,0.00%,1,0,1
"Crovax, Ascendant Hero",8,25208,0.03%,8,0,2
Crow of Dark Tidings,1,25208,0.00%,1,0,1
Crowd-Control Warden,1,25208,0.00%,1,0,1
Crowded Crypt,19,25208,0.08%,19,0,3
Crown of Ascension,2,25208,0.01%,2,0,2
Crown of Awe,2,25208,0.01%,2,0,1
Crown of Convergence,1,25208,0.00%,1,0,1
Crown of Doom,1,25208,0.00%,1,0,1
Crown of Flames,3,25208,0.01%,3,0,2
Crown of Fury,9,25208,0.04%,9,0,2
Crown of Gondor,33,25208,0.13%,33,0,6
Crown of Skemfar,999,25208,3.96%,999,0,3
Crown of Suspicion,1,25208,0.00%,1,0,1
Crown of Vigor,3,25208,0.01%,3,0,1
Crown-Hunter Hireling,14,25208,0.06%,14,0,1
Crowned Ceratok,6,25208,0.02%,6,0,2
"Crucias, Titan of the Waves",1,25208,0.00%,1,0,0
Crucible of Fire,2,25208,0.01%,2,0,1
Crucible of Worlds,854,25208,3.39%,854,0,11
Crucible of the Spirit Dragon,1,25208,0.00%,1,0,1
Crude Rampart,1,25208,0.00%,1,0,1
Cruel Celebrant,199,25208,0.79%,199,0,2
Cruel Deceiver,1,25208,0.00%,1,0,1
Cruel Edict,2,25208,0.01%,2,0,1
Cruel Entertainment,2,25208,0.01%,2,0,2
Cruel Feeding,1,25208,0.00%,1,0,1
Cruel Grimnarch,16,25208,0.06%,16,0,1
Cruel Reality,1,25208,0.00%,1,0,1
Cruel Somnophage // Can't Wake Up,361,25208,1.43%,361,0,2
Cruel Truths,2,25208,0.01%,2,0,2
Cruel Tutor,17,25208,0.07%,17,0,4
Cruel Witness,18,25208,0.07%,18,0,1
Cruelclaw's Heist,2,25208,0.01%,2,0,2
Crumb and Get It,12,25208,0.05%,12,0,3
Crumbling Ashes,1,25208,0.00%,1,0,1
Crumbling Colossus,1,25208,0.00%,1,0,1
Crumbling Sanctuary,6,25208,0.02%,6,0,3
Crumbling Vestige,23,25208,0.09%,23,0,7
Crusader of Odric,35,25208,0.14%,35,0,2
Crusading Knight,3,25208,0.01%,3,0,1
Crush,10,25208,0.04%,10,0,2
Crush Contraband,87,25208,0.35%,87,0,6
Crush Dissent,1,25208,0.00%,1,0,1
Crush of Tentacles,48,25208,0.19%,48,0,5
Crush of Wurms,1,25208,0.00%,1,0,1
Crush the Weak,3,25208,0.01%,3,0,2
Crusher Zendikon,2,25208,0.01%,2,0,2
Crushing Canopy,17,25208,0.07%,17,0,3
Crushing Disappointment,48,25208,0.19%,48,0,4
Crushing Pain,1,25208,0.00%,1,0,1
Crushing Vines,5,25208,0.02%,5,0,4
Crux of Fate,83,25208,0.33%,83,0,4
Cry of the Carnarium,2,25208,0.01%,2,0,2
Crypsis,6,25208,0.02%,6,0,2
Crypt Ghast,64,25208,0.25%,64,0,4
Crypt Incursion,64,25208,0.25%,64,0,5
Crypt Lurker,8,25208,0.03%,8,0,1
Crypt Rats,2,25208,0.01%,2,0,2
Crypt of Agadeem,40,25208,0.16%,40,0,4
Cryptborn Horror,1,25208,0.00%,1,0,1
Cryptbreaker,4,25208,0.02%,4,0,1
Cryptek,2,25208,0.01%,2,0,2
Cryptex,1,25208,0.00%,1,0,1
Cryptic Annelid,9,25208,0.04%,9,0,1
Cryptic Caves,81,25208,0.32%,81,0,11
Cryptic Coat,13,25208,0.05%,13,0,3
Cryptic Command,1349,25208,5.35%,1349,0,5
Cryptic Gateway,55,25208,0.22%,55,0,9
Cryptic Serpent,12,25208,0.05%,12,0,1
Cryptic Spires,72,25208,0.29%,72,0,6
Cryptid Inspector,1,25208,0.00%,1,0,1
Cryptolith Fragment,7,25208,0.03%,7,0,5
Cryptolith Rite,503,25208,2.00%,503,0,7
Cryptoplasm,12,25208,0.05%,12,0,3
Cryptothrall,1,25208,0.00%,1,0,1
Crystacean,3,25208,0.01%,3,0,2
Crystal Ball,9,25208,0.04%,9,0,3
Crystal Barricade,13,25208,0.05%,13,0,4
Crystal Carapace,7,25208,0.03%,7,0,3
Crystal Chimes,1,25208,0.00%,1,0,1
Crystal Dragon // Rob the Hoard,4,25208,0.02%,4,0,3
Crystal Grotto,125,25208,0.50%,125,0,10
Crystal Rod,1,25208,0.00%,1,0,1
Crystal Shard,43,25208,0.17%,43,0,5
"Crystal Skull, Isu Spyglass",11,25208,0.04%,11,0,3
Crystal Slipper,3,25208,0.01%,3,0,2
Crystal Spray,2,25208,0.01%,2,0,2
Crystal Vein,304,25208,1.21%,304,0,12
Crystal of Altar Cave,2,25208,0.01%,2,0,1
Crystalline Crawler,27,25208,0.11%,27,0,4
Crystalline Giant,8,25208,0.03%,8,0,4
Crystalline Nautilus,1,25208,0.00%,1,0,1
Crystalline Resonance,1,25208,0.00%,1,0,1
Crystalline Sliver,3,25208,0.01%,3,0,1
Crystallization,3,25208,0.01%,3,0,1
Cubwarden,10,25208,0.04%,10,0,3
Culling Dais,41,25208,0.16%,41,0,4
Culling Ritual,679,25208,2.69%,679,0,2
Culling Sun,1,25208,0.00%,1,0,1
Culling the Weak,181,25208,0.72%,181,0,5
Cult Conscript,59,25208,0.23%,59,0,3
Cultist of the Absolute,411,25208,1.63%,411,0,5
Cultivate,5391,25208,21.39%,5392,0,7
Cultivator Colossus,324,25208,1.29%,324,0,6
Cultivator of Blades,335,25208,1.33%,335,0,4
Cultivator's Caravan,13,25208,0.05%,13,0,5
Cultural Exchange,6,25208,0.02%,6,0,2
Cumber Stone,1,25208,0.00%,1,0,1
Cunning Coyote,2,25208,0.01%,2,0,2
Cunning Evasion,2,25208,0.01%,2,0,1
Cunning Nightbonder,5,25208,0.02%,5,0,1
Cunning Rhetoric,21,25208,0.08%,21,0,4
Cunning Sparkmage,1,25208,0.00%,1,0,1
Curate,46,25208,0.18%,46,0,3
Curator Beastie,9,25208,0.04%,9,0,3
Curator of Destinies,5,25208,0.02%,5,0,1
Curator of Mysteries,9,25208,0.04%,9,0,2
Curator of Sun's Creation,1,25208,0.00%,1,0,1
Curator's Ward,16,25208,0.06%,16,0,5
Curfew,6,25208,0.02%,6,0,3
"Curie, Emergent Intelligence",2,25208,0.01%,2,0,1
Curiosity,85,25208,0.34%,85,0,5
Curiosity Crafter,68,25208,0.27%,68,0,3
Curious Altisaur,1,25208,0.00%,1,0,1
Curious Herd,5,25208,0.02%,5,0,2
Curious Homunculus,45,25208,0.18%,45,0,2
Curious Inquiry,6,25208,0.02%,6,0,1
Curious Obsession,6,25208,0.02%,6,0,2
Curious Pair // Treats to Share,4,25208,0.02%,4,0,3
Currency Converter,8,25208,0.03%,8,0,3
Curse of Bloodletting,6,25208,0.02%,6,0,3
Curse of Bounty,75,25208,0.30%,75,0,4
Curse of Chaos,3,25208,0.01%,3,0,1
Curse of Clinging Webs,142,25208,0.56%,142,0,4
Curse of Conformity,169,25208,0.67%,169,0,1
Curse of Death's Hold,2,25208,0.01%,2,0,1
Curse of Disturbance,10,25208,0.04%,10,0,3
Curse of Echoes,5,25208,0.02%,5,0,2
Curse of Exhaustion,2,25208,0.01%,2,0,2
Curse of Fool's Wisdom,4,25208,0.02%,4,0,3
Curse of Hospitality,4,25208,0.02%,4,0,2
Curse of Leeches,24,25208,0.10%,24,0,1
Curse of Misfortunes,2,25208,0.01%,2,0,2
Curse of Obsession,4,25208,0.02%,4,0,2
Curse of Opulence,83,25208,0.33%,83,0,4
Curse of Predation,12,25208,0.05%,12,0,3
Curse of Shaken Faith,6,25208,0.02%,6,0,1
Curse of Shallow Graves,1,25208,0.00%,1,0,1
Curse of Silence,12,25208,0.05%,12,0,2
Curse of Stalked Prey,6,25208,0.02%,6,0,3
Curse of Surveillance,3,25208,0.01%,3,0,1
Curse of Thirst,2,25208,0.01%,2,0,2
Curse of Unbinding,62,25208,0.25%,62,0,4
Curse of Verbosity,35,25208,0.14%,35,0,4
Curse of Vitality,1,25208,0.00%,1,0,1
Curse of the Bloody Tome,20,25208,0.08%,20,0,1
Curse of the Cabal,1,25208,0.00%,1,0,1
Curse of the Forsaken,1,25208,0.00%,1,0,1
Curse of the Nightly Hunt,1,25208,0.00%,1,0,1
Curse of the Pierced Heart,3,25208,0.01%,3,0,2
Curse of the Restless Dead,581,25208,2.30%,581,0,1
Curse of the Swine,760,25208,3.01%,760,0,5
Curse of the Werefox,3,25208,0.01%,3,0,2
Cursebound Witch,2,25208,0.01%,2,0,0
Cursecatcher,4,25208,0.02%,4,0,2
Cursed Courtier,2,25208,0.01%,2,0,1
Cursed Firebreathing Yogurt,2,25208,0.01%,2,0,1
Cursed Mirror,263,25208,1.04%,263,0,5
Cursed Monstrosity,1,25208,0.00%,1,0,1
Cursed Totem,42,25208,0.17%,42,0,6
Cursed Windbreaker,4,25208,0.02%,4,0,2
Cursed Wombat,1,25208,0.00%,1,0,1
Curtain of Light,2,25208,0.01%,2,0,2
Curtains'Call,1257,25208,4.99%,1258,0,5
Custodi Lich,123,25208,0.49%,123,0,2
Custodi Soulbinders,378,25208,1.50%,378,0,4
Custodi Soulcaller,16,25208,0.06%,16,0,3
Custodi Squire,29,25208,0.12%,29,0,2
Custody Battle,5,25208,0.02%,5,0,2
Cut //Ribbons,6,25208,0.02%,6,0,1
